,English,Vietnamese,Tamil Translation,Spanish,Hindi,Malay,Arabic,Portuguese,Swahili,Russian,French,Filipino,Thai,INDONESIAN,Nepali,Bengali,Chinese (Simplified),Chinese (Traditional),Khmer
syncing_invalid_token,Cannot sync with invalid token!,Không thể đồng bộ với mã thông báo không hợp lệ!,தவறான டோக்கன் உடன் ஒத்திசைக்க முடியாது!,No se puede sincronizar con un token no válido!,अमान्य टोकन के साथ सिंक नहीं कर सकता!,Tidak dapat menyelaras dengan token tidak sah!,لايمكن مزامنه مع رمز غير صالح,Não é possível sincronizar com um token inválido!,Haiwezi kusawazisha na tokeni isiyo halali!,Не удается синхронизировать с недействительным токеном!,Impossible de synchroniser avec un token non valide!,Hindi mai-sync dahil sa hindi balidong token!,ไม่สามารถถ่ายโอนข้อมูลด้วยเหรียญที่ไม่สมบูรณ์ได้,Tidak bisa sinkronisasi dengan token yang tidak valid!,अवैध टोकनले सिंक गर्न सकिदैन !,অকার্যকর টোকেন দিয়ে সিনক্রোনাইজেশন করা সম্ভব হচ্ছে না! ,无法与无效令牌同步！,無法與無效權杖同步！,មិនអាចធ្វើសមកាលកម្មជាមួយថូខឹនដែលគ្មានសុពលភាព!
syncing_running,Sync is already running!,Đang đồng bộ hóa!,ஒத்திசைவு ஏற்கனவே இயங்குகிறது,La sincronización ya está en proceso!,सिंक प्रोसेस पहले से चल रही है!,Penyelarasan sedang berjalan!,المزامنة تسير بالفعل!,A sincronização já está em execução!,Kusawazisha kunaendelea!,Синхронизация уже запущена!,La synchronisation est déjà en cours!,Patuloy pa rin sa pag-sync!,กำลังถ่ายโอนข้อมูล!,Sinkronisasi sedang dijalankan,सिंक भैरहेको छ !,সিনক্রোনাইজেশন করা ইতিমধ্যে শুরু হয়ে গিয়েছে!,同步正在运作！,同步正在運作！,ការធ្វើសមកាលកម្មបានដំណើរការរួចហើយ!
syncing_export_running,Sync/Export is already running!,Đồng bộ hóa / Xuất đã chạy!,ஒத்திசைவு / ஏற்றுமதி ஏற்கனவே இயங்குகிறது!,Sync / Export ya se está ejecutando!,सिंक / निर्यात पहले से चल रहा है!,Segerak / Eksport sudah berjalan!,المزامنة / التصدير قيد التشغيل بالفعل!,Sincronização/exportação em execução!,Sambamba / Export tayari inaendelea!,Синхронизация / Экспорт уже запущен!,Sync / Export est déjà en cours!,Ang pag-sync / Pag-export ay tumatakbo na!,การถ่ายโอน/การส่งออก กำลังดำเนินการ!,Sinkronisasi/ekspor sedang dijalankan!,सिंक/एक्सपोर्ट पहिलेनै चलिरहेको छ !,সিনক্রোনাইজেশন/এক্সপোর্ট ইতিমধ্যে চালু রয়েছে! ,同步/导出已在运作！,同步/匯出已在運作！,ធ្វើសមកាលកម្ម/នាំចេញ កំពុងដំណើការ
nothing_selected_sync,Select reports/grievances to sync!,Chọn báo cáo / khiếu nại để đồng bộ hóa!,ஒத்திசைக்க புகார்கள்/குறைகளைத் தேர்ந்தெடுக!,Seleccionar reportes/reclamos para sincronizar,विन्यास हेतु रिपोर्ट / शिकायत चुनें,Pilih laporan / keluhan untuk disegerakkan!,حدد التقارير / المظالم للمزامنة!,Selecione relatórios / queixas para sincronizar!,Chagua ripoti / malalamiko ya kusawazisha!,Выберите отчеты / обиды для синхронизации!,Sélectionnez les rapports / griefs à synchroniser!,Piliin ang mga ulat / karaingan upang mai-sync!,เลือกการรายงาน/คำร้องในการถ่ายโอน!,Pilih laporan/keluhan untuk disinkronisasi!,सिंक गर्ने रिपोर्टहरु/गुनासोहरु रोज्नुहोस् !,সিনক্রোনাইজেশন করার জন্য রিপোর্ট/অভিযোগ নির্বাচন করুন!,选择要同步的报告/申诉！,選擇要同步的報告/申訴！,ជ្រើសរើសរបាយការណ៍/បណ្តឹងសារទុក្ខដើម្បីធ្វើសមកាលកម្ម!
<!-- Zip -->,<!-- Zip -->,<!-- Zip -->,<!-- Zip -->,<!-- Zip -->,<!-- Zip -->,<!-- Zip -->,<!-- Zip -->,<!-- Zip -->,<!-- Zip -->,<!-- Zip -->,<!-- Zip -->,<!-- Zip -->,<!-- Zip -->,<!-- Zip -->,<!-- Zip -->,<!-- Zip -->,<!-- Zip -->,<!-- Zip -->,<!-- Zip -->
zip_initializing,Initializing..,Đang khởi tạo..,துவக்குகிறது ..,Inicializando..,शुरु हो रहा है ..,Memulakan….,جار تهيئه...,A inicializar…,Inaanzisha…,Инициализация,Initialisation..,Sinisimulan…,ดำเนินการ..,Inisialisasi,आरम्भ गर्दै...,শুরু হচ্ছে ...,正在初始化…,正在初始化…,កំពុងចាប់ផ្តើម...
export,Export to SD,Xuất dữ liệu vào thẻ SD,SD க்கு ஏற்றுமதி செய்யுங்கள்,Exportar al SD,एसडी कार्ड में एक्सपोर्ट करें,Eksport ke SD,SDتصدير الى,Exportar para SD,Tuma kwa kadi sakima,Экспорт в карту памяти,Enregistrer sur SD,Ilipat sa SD,ส่งออกไปยังการ์ด SD,Kirim Ke SD,एसडीमा एक्पोर्ट,এসডি কার্ডে এক্সপোর্ট করুন ,导出到 SD 卡,匯出到 SD 卡,ចេញជា SD
export_adding,Adding media,Thêm phương tiện,ஊடகத்தை சேர்ப்பது,La adicion de medios,मीडिया को जोड़ रहा है,Menambah media,إضافة وسائل الإعلام,A adicionar media,Kuongeza picha/sauti/video,Добавление медиа,Ajout de medias,Nagdadagdag ng media,เพิ่มมีเดีย,Tambah media,मिडिया थप्दै,মিডিয়া সংযুক্ত করা হচ্ছে ,添加媒体,新增媒體,ការបន្ថែមមេឌៀ
export_ok,Exported successfully,Xuất dữ liệu thành công,வெற்றிகரமாக ஏற்றுமதி செய்யப்பட்டது,¡Exportación exitosa!,एक्सपोर्ट सफल,Berjaya dieskport,تم تصديرها بنجاح,Exportado com sucesso,Kutuma kumefaulu!,Экспорт успешно завершен,Enregistrement terminé!,Matagumpay na nailipat,ส่งออกเสร็จสมบูรณ์,Kirim Lengkap,सफलतापूर्वक एक्सपोर्ट गरियो,সফলভাবে এক্সপোর্ট করা হয়েছে,成功导出,成功匯出,បំលែងចេញដោយជោគជ័យ
attaching_xml,Attaching reports XML file..,Đính kèm báo cáo file XML,எக்ஸ்எம்எல் கோப்பினை இணைக்கிறது ..,Adjuntando archivo XML del reporte,एक्सएमएल फाइल अटैच हो रही है,Melampirkan laporan dalam fail XML…,إرفاق تقارير ملف XML,A anexar ficheiro XML dos eventos…,Inaambatisha ripoti za faili za XML,Прикрепление отчетов XML-файла ..,Attachement du rapport XML..,Ina-attach ang XML file ng mga report…,แนบการรายงานด้วยไฟล์ XML..,Attach Laporan File XML,रिपोर्टहरु एक्सएमएल फाइल संलग्न गर्दै.. ,রিপোর্টের XML ফাইল সংযুক্ত করা হচ্ছে,附加报告 XML 文件…,附加報告 XML 文件…,ភ្ជាប់របាយការណ៍ជាទម្រង់ XML ។
export_count,Exporting Report %1$d of %2$d,Xuất báo cáo%1$d của %2$d,அறிக்கை ஏற்றுமதி %1$d of %2$d,Exportar informe %1$d de %2$d,% 2 $ d की रिपोर्ट% 1 $ d निर्यात करना,Mengeksport Laporan %1$d drpd %2$d,تصدير التقرير٪1$d من٪2$d,Exportar evento %1$d de %2$d,Ripoti ya Kuagiza %1$d ya %2$d,Экспорт отчета%1$d из %2$d,Exportation du rapport %1$d de %2$d,Ine-export ang ulat %1$d ng %2$d,ส่งออกรายงาน %1$d จาก %2$d,Mengekspor Laporan %1$d of %2$d,रिपोर्ट एक्सपोर्ट गर्दै %1$d of %2$d,"রিপোর্ট এক্সপোর্ট করা হচ্ছে, %2$d এর %1$d ",导出报告 %2$d 的 %1$d,匯出報告 %2$d 的 %1$d,របាយការណ៍បំលែងចេញ %1$d នៃ %2$d
export_running,Export is already running!,Xuất đã chạy!,தரவு ஏற்றுமதி ஏற்கனவே இயங்குகிறது!,¡La exportación ya está en proceso!,निर्यात प्रगति पर है,Eksport sudah berjalan!,التصدير قيد التشغيل بالفعل!,A exportação já está em execução!,kutuma kwa kadi sakima tayari kunaendelea!,Экспорт уже запущен!,L'exportation est déjà en cours!,Ang pag-export ay tumatakbo na!,การส่งออกกำลังดำเนินการ!,Ekspor sedang dijalankan,एक्सपोर्ट पहिलेनै भैरहेको छ !,এক্সপোর্ট ইতিমধ্যে চালু রয়েছে! ,导出已在运作！,匯出已在運作！,ការនាំចេញកំពុងដំណើការ!
nothing_selected_export,Select reports/grievances to export!,Chọn báo cáo / khiếu nại để xuất!,தரவை ஏற்றுமதி செய்ய புகார்கள்/குறைகளைத் தேர்ந்தெடுக!,Seleccionar reportes/reclamos para exportar,निर्यात हेतु रिपोर्ट / शिकायत चुनें,Pilih laporan / rungutan untuk dieksport!,حدد التقارير / المظالم للتصدير!,Selecione relatórios / queixas para exportar!,Chagua ripoti / malalamiko ya kutuma kwa kadi sakima,Выберите отчеты / жалобы для экспорта!,Sélectionnez les rapports / griefs à exporter!,Piliin ang mga ulat / karaingan upang ma-export!,เลือกการรายงาน/คำร้องในการส่งออก!,Pilih laporan/keluhan untuk diekspor!,एक्सपोर्ट गर्ने रिपोर्टहरु/गुनासोहरु रोज्नुहोस् !,এক্সপোর্ট করার জন্য রিপোর্ট/অভিযোগ নির্বাচন করুন!,选择要导出的报告/申诉！,選擇要匯出的報告/申訴！,ជ្រើសរើសរបាយការណ៍/បណ្តឹងសារទុក្ខដើម្បីនាំចេញ!
<!-- Home page -->,<!-- Home page -->,<!-- Home page -->,<!-- Home page -->,<!-- Home page -->,<!-- Home page -->,<!-- Home page -->,<!-- Home page -->,<!-- Home page -->,<!-- Home page -->,<!-- Home page -->,<!-- Home page -->,<!-- Home page -->,<!-- Home page -->,<!-- Home page -->,<!-- Home page -->,<!-- Home page -->,<!-- Home page -->,<!-- Home page -->,<!-- Home page -->
add,Add Report,Thêm báo cáo,புகாரைச் சேர்க்கவும்,Añadir reporte,रिपोर्ट जोड़ें,Tambah Laporan,إضافة تقرير,Adicionar evento,Ongeza Ripoti,Добавить отчет<,Ajouter un rapport,Magdagdag ng Report,เพิ่มการรายงาน,Masukan Laporan,रिपोर्ट थप्नुहोस्,রিপোর্ট যুক্ত করুন ,添加报告,新增報告,បន្ថែមរបាយការណ៍
add_grievance_on,Add,Thêm,சேர்,Añadir ,जोड़ना,Tambah,إضافة,Adicionar,Ongeza ,добавлять,Ajouter,Magdagdag,เพิ่ม,Masukan,थप्नुहोस्,যোগ করুন ,添加,新增,បន្ថែម
view,View Reports,Xem báo cáo,அறிக்கைகள் காண்க,Ver reportes,रिपोर्ट देखें,Tambah Laporan,عرض التقارير,Ver eventos,Tazama Ripoti,Просмотр отчетов,Visualiser les rapports,Tingnan ang Mga Report,ดูการรายงาน,Lihat Laporan,रिपोर्टहरु हेर्नुहोस्,রিপোর্টসমূহ দেখুন ,查看报告,查看報告,មើលរបាយការណ៍
view_grievance_on,View ,Xem,காண்க,Ver ,देखना,Tambah,رأي,Ver,Tazama,Посмотреть,Vue,Tingnan,ดู,Lihat,हेर्नुहोस्,প্রদর্শন করুন ,查看,查看,មើល
help,Lessons,Bài học,பாடங்கள்,Lecciones,पाठ,Tutorial,دروس,Lições,Masomo,Уроки,Cours,Mga Aral,วิดีโอสาธิตการใช้งาน,Bantuan,पाठहरु,পাঠসমূহ ,视频课程,視頻課程,មេរៀន
sync_label,Upload to Dashboard,Tải lên Dashboard,டாஷ்போர்டில் பதிவேற்றுக,Subir al panel,डैशबोर्ड पर अपलोड करें,Muat naik ke Papan Pemuka,تحميل إلى لوحة المعلومات,Enviar para o painel de controlo,Pakia kwa Dashibodi,Загрузить на панель инструментов,Ajouter au tableau debord,I-upload sa Dashboard,อัปโหลดไปยังหน้ากระดาน,Unggah ke Dashboard,ड्यासबोर्डमा अपलोड गर्नुहोस्,ড্যাশবোর্ডে আপলোড করুন ,上传到信息主页,上載到資訊主頁,បញ្ជូនឡើងទៅផ្ទាំងគ្រប់គ្រង
initiate_downloading_lessons,No lessons found! Downloading..,Không tìm thấybài học! Đang tải..,பாடங்களைக் கண்டுபிடிக்க முடியவில்லை! பதிவிறக்குகிறது ..,No se encontraron lecciones. Descargando lecciones..,गाइड डाउनलोड हो रहें हैं,Tiada tutorial ditemui! Memuat turun…,لايوجد دروس .تحميل دروس,Não foram encontradas lições. A transferir…,Hakuna mafunzo yaliyopatikana. Inapakua mafunzo..,Уроки не найдены! Загрузка,Aucun cours trouvé. Téléchargement des cours..,Walang nakitang aral! Dina-download…,ไม่พบวิดีโอสาธิตการใช้งาน! กำลังดาวน์โหลด,"Tidak ada Materi ditemukan, Download Materi",कुनै पाठहरु भेटिएन ! डाउनलोड गर्दै...,কোন পাঠ পাওয়া যায়নি! ডাউনলোড করা হচ্ছে …,找不到视频课程！ 正在下载…,找不到視頻課程！ 正在下載…,រកមិនឃើញមេរៀនទេ! កំពុងទាញយក..
internet_conection_needed,An Internet connection is needed to download lessons. Switch on WIFI or Mobile Data..,Cần kết nối Internet để tải bài học. Vui lòng kết nối WiFi hoặc sử dụng dữ liệu di động,பாடங்கள் பதிவிறக்கம் ஒரு இணைய இணைப்பு தேவை. WIFI அல்லது மொபைல் தரவை மாற்றுக ..,Una conexión a la internet es necesaria para descargar lecciones. Active WIFI o Datos Móviles..,सिंक करने के लिए डेटा या वाई फाई की ज़रूरत है. आगे बढे?,Sambungan Internet diperlukan untuk memuat turun tutorial. Hidupkan WIFI atau Data Selular.,هناك حاجة إلى اتصال بالإنترنت لتحميل الدروس. تشغيل WIFI أو بيانات الجوال ..,É necessário ligação à internet para transferir lições. Ligue o WiFi ou os dados móveis.,Muunganiko wa mtandao unahitajika ili kupakua mafunzo. Fungulia datahuru au datarununu.,Необходимо интернет подключение для загрузки уроков. Включите Wi-Fi или мобильные данные,Vous devez être connecté pour pouvoir télécharger les cours. Activer votre WIFI ou les données mobiles,Kailangan ng koneksyon sa internet upang mag-download ng mga aral. Lumipat sa WIFI o Mobile Data…,การเชื่อมต่ออินเตอร์เน็ตจำเป็นสำหรับการดาวน์โหลดวิดีโอสาธิตการใช้งาน เปิดใช้งาน WIFI หรืออินเตอร์เน็ตมือถือ,Koneksi Internet dibutuhkan untuk download materi. Aktifkan Wifi atau Mobile Data Anda,पाठहरु डाउनलोड गर्न एउटा इन्टरनेट कनेक्सन आवश्यक हुन्छ l वाइफाई वा मोबाइल डाटा स्विच अन गर्नुहोस्..,পাঠসমূহ ডাউনলোড করতে একটি ইন্টারনেট সংযোগ প্রয়োজন। ওয়াই-ফাই বা মোবাইল ডাটা চালু করুন। ,下载课程需要网络连接。请打开 WIFI 或移动数据。,下載課程需要網路連接。請開啟 WIFI 或移動數據。,ការភ្ជាប់ទៅអ៊ីធឺណិតគឺចាំបាច់ដើម្បីទាញយកមេរៀន។ បើកវ៉ាយហ្វាយ ឬទិន្នន័យចល័ត..
no_internet_conection,You have no Internet connection!,Bạn không có kết nối Internet!,உங்களுக்கு இணைய இணைப்பு இல்லை!,Usted no tiene conexión a la internet!,इंटरनेट कनेक्शन नहीं है!,Anda tiada sambungan internet!,لايوجد اتصال مع الانترنت,Não tem acesso à internet!,Hauna muunganiko wa mtandao!,У вас нет подключение к интернету,Vous n\'êtes pas connecté à internet!,Wala kang internet connection!,คุณไม่ได้ทำการเชื่อมต่ออินเตอร์เน็ต,Anda tidak memiliki Koneksi Internet,तपाईंसँग इन्टरनेट कनेक्सन छैन !,আপনার ইন্টারনেট সংযোগ করা নেই  ,没有互联网连接！,沒有互聯網連接！,អ្នកមិនមានតំណភ្ជាប់អ៊ីនធឺណិតទេ!
err_storage_not_ready,The external storage (SDCard) does not appear to be available for reading and writing at this time. TIMBY requires access to this for lesson and story project data.Please check your device and restart the App.,Bộ nhớ ngoài (SD Card) không thể sử dụng để đọc và viết lúc này. TIMBY yêu cầu quyền truy cập vào Bộ nhớ này để truy cập vào dữ liệu bài học và câu chuyện của dự án. Vui lòng kiểm tra thiết bị của bạn và khởi động lại ứng dụng.,வெளிப்புற சேமிப்பகம் (SDCard) இந்த நேரத்தில் படிக்க மற்றும் எழுதுவதற்கு கிடைக்கவில்லை. படிப்பிற்கும் கதை திட்டத்திற்கும் TIMBY க்கு அணுகல் தேவைப்படுகிறது.உங்கள் சாதனத்தை சரிபார்க்கவும் மற்றும் பயன்பாட்டை மறுதொடக்கம் செய்யவும்.,La memoria externa (Tarjeta SD) no se encuentra disponible. TIMBY requiere acceso a ella para acceder a datos de leccion e historia de project. Por favor revise el dispositivo y reinicie la Aplicación.,SD कार्ड नहीं डला हुआ है या रीड नहीं हो रहा है. फिर से डालकर एप्प खोलें,Storan luar (Kad SD) nampaknya tidak tersedia untuk dibaca dan ditulis buat masa ini. TIMBY memerlukan akses kepada kad ini untuk menyimpan tutorial dan data projek cerita. Sila semak peranti anda dan mulakan semula Aplikasi.,لا يبدو أن وحدة التخزين الخارجية (SDCard) متاحة للقراءة والكتابة في الوقت الحالي. TIMBY يتطلب الوصول إلى هذا للدرس وبيانات مشروع القصة. يرجى التحقق من جهازك وإعادة تشغيل App,"O armazenamento externo (cartão SD) parece não estar disponível para ler e guardar. O TIMBY precisa de ter acesso a isto para a lição e os dados do projecto da matéria. Por favor, verifique o seu dispositivo e reinicie a aplicação.",Hifadhi ya nje (KadiSakima) yaelekea hakupatikani kusoma wala kuandika kwa sasa. TIMBY inahitaji kuifikia kwa fundisho hili na taarifa za mradi. Tafadhali angalia simu yako na uanzishe tena hiyo Apu.,"Внешняя память в настоящее время не доступно для чтения и записи. TIMBY требует доступ к внешней памяти для отображения уроков и истории. Пожалуйста, проверьте свое устройство и перезапустите приложение",>Le stockage externe (carte SD) ne semble pas disponible à la lecture ni à l\'écriture. TIMBY a besoin de ces accès pour les cours et les données des projets d\'histoire. Veuilez vérifier votre appareil et redémarrer l\'application ,Mukhang hindi available ang external storage (SDCard) para sa pagbabasa at pagsusulat sa sandaling ito. Nangangailangan ang TIMBY ng access dito para sa data ng aral at proyektong istorya. Pakitsek ng iyong device at i-restart ang App.,พื้นที่จัดเก็บบนการ์ด SD ไม่เพียงพอสำหรับการอ่านและเขียนข้อมูลครั้งนี้ TIMBY จำเป็นต้องเข้าถึงพื้นที่นี้เพื่อวิดีโอสาธิตการใช้งานและข้อมูลโปรเจค โปรดเช็คอุปกรณ์ของคุณและทำการรีสตาร์ทแอปพลิเคชัน,Memory Card Anda saat ini tidak dapat membaca dan menulis dari. TIMBY Membutuhkan Akses untuk dapat menyimpan materi dan data Project anda. Check Perangkat anda dan Restart App,एक्सटरनल स्टोरेज (एसडी कार्ड) यो समयमा रिडिंग र राइटिंगको लागि उपलब्ध भएको देखिँदैनन् l टिम्बीलाई पाठ र स्टोरी प्रोजेक्ट डाटाको लागि पहुँच आवश्यक हुन्छ l कृपया तपाईंको उपकरण जाँच्नुहोस् र एप पुनःसुचारु गर्नुहोस् l,এই মুহূর্তে রিডিং এবং রাইটিং এর জন্য এসডি কার্ডটি দেখতে পাওয়া যাচ্ছেনা। TIMBY তে পাঠসমূহ এবং গল্পের প্রজেক্টের জন্য এসডি কার্ড প্রয়োজন। দয়া করে আপনার ডিভাইসটি পুনরায় চেক করুন এবং অ্যাপটি পুনরায় চালু করুন(রিস্টার্ট করুন)।    ,"外部存储（SD 卡）目前似乎无法读取和写入。 TIMBY 要求访问些信息，以获取课程和故事项目数据。请检查你的设备, 重新启动应用程序。","外部存儲（SD 卡）目前似乎無法讀取和寫入。 TIMBY 要求存此資訊，以獲取課程和故事項目數據。請檢查你的設備, 重新啟動應用程式。",អង្គផ្ទុកទិន្នន័យខាងក្រៅ (SDCard) មិនមានសម្រាប់អាននិងកត់ត្រានៅពេលនេះទេ។ TIMBYត្រូវការសិទ្ធិចូលប្រើសម្រាប់មេរៀននិងទិន្ន័យគម្រោងរឿង។ សូមពិនិត្យមើលឧបករណ៍របស់អ្នក ហើយចាប់ផ្តើមបើកកម្មវិធីជាថ្មី។
enter_password,Enter password,Nhập mật khẩu,,Ingrese su contraseña,पास वर्ड दर्ज करें,Masukkan kata laluan,ادخل الرمز السري,Insira a palavra-passe,Ingiza nenosiri,Введите пароль,Entrer un mot de passe,Ilagay ang password,ใส่รหัสผ่าน,Masukan Password,पासवर्ड हाल्नुहोस्,পাসওয়ার্ড প্রবেশ করান ,输入密码,輸入密碼,បញ្ចូលពាក្យសម្ងាត់
<!-- Settings page -->,<!-- Settings page -->,<!-- Settings page -->,<!-- Settings page -->,<!-- Settings page -->,<!-- Settings page -->,<!-- Settings page -->,<!-- Settings page -->,<!-- Settings page -->,<!-- Settings page -->,<!-- Settings page -->,<!-- Settings page -->,<!-- Settings page -->,<!-- Settings page -->,<!-- Settings page -->,<!-- Settings page -->,<!-- Settings page -->,<!-- Settings page -->,<!-- Settings page -->,<!-- Settings page -->
timby_status,APP CONFIGURATIONS,CẤU HÌNH ỨNG DỤNG,பயன்பாட்டி வடிவமைப்புகள்,CONFIGURACIONES DE LA APP,एप्प विन्यास,KONFIGURASI APP,تكوينات التطبيق,CONFIGURAÇÕES DO APP,HALI YA APU,APP КОНФИГУРАЦИИ,CONFIGURATIONS DE L'APPLICATION,KOMPIGASYON NG APP,สถานะ APP,KONFIGURASI APLIKASI,एप स्थिति,অ্যাপ স্ট্যাটাস,应用程序状态,應用程式狀態,ស្ថានភាព APP
timby_dashboard,TIMBY Dashboard,Bảng điều khiển TIMBY,TIMBY டேஷ்போர்டு,Cuadro de mando de TIMBY,TIMBY डैशबोर्ड,Papan Pemuka TIMBY,TIMBY لوحة القيادة,Painel TIMBY,Dashibodi ya TIMBY,TIMBY Dashboard,Tableau de bord TIMBY,TIMBY Dashboard,หน้ากระดาน TIMBY,TIMBY Dashboard,टिम्बि ड्यासबोर्ड,TIMBY ড্যাশবোর্ড,TIMBY 信息主页,TIMBY 資訊主頁,ផ្ទាំងពត៌មាន TIMBY
timby_icon,TIMBY Discreet Icon,Biểu tượng kín đáo của TIMBY,TIMBY பிரத்யேக ஐகான்,Ícono Discreto de TIMBY,TIMBY विचारशील आइकन,TIMBY Discreet Icon,تيمي أيقونة سرية,Ícone discreto TIMBY,Picha ya Tukufu,TIMBY Discreet Icon,Icône discrète TIMBY,TIMBY Discreet Icon,TIMBY Discreet Icon,TIMBY Discreet Ikon,टिम्बि डिस्कृट आइकन,TIMBY সতর্ক আইকন,TIMBY 掩饰图标,TIMBY 掩飾圖示,រូបតំណាងសុវត្ថិភាព TIMBY
timby_icon_subtitle,Select a preferred app icon and app name,Chọn một biểu tượng ứng dụng ưa thích và tên ứng dụng,விருப்பமான பயன்பாட்டி ஐகான் மற்றும் பயன்பாட்டி பெயரைத் தேர்ந்தெடுக,Selecciona el ícono de tu preferencia para la aplicación y un nombre de aplicación,अपनी पसंदीदा एप्प चित्र एवं एप्प का नाम चुनें,Pilih ikon apl pilihan dan nama apl,حدد رمز التطبيق المفضل واسم التطبيق,Selecione um ícone de aplicativo preferido e um nome de aplicativo,Chagua picha ya apu inayopendelewa na jina la apu,Выберите значок предпочитаемого приложения и имя приложения,Sélectionnez une icône et un nom d'application préférés,Pumili ng isang ginustong icon ng app at pangalan ng app,เลือกไอคอนและชื่อของ APP ที่ต้องการ,Pilih ikon aplikasi dan nama aplikasi yang anda inginkan,नाम,পছন্দসই একটি এপ্লিকেশন আইকন এবং এপ্লিকেশন নাম নির্বাচন করুন,选择首选的应用程序的图标和名称,選擇首選的應用程式的圖示和名稱,ជ្រើសរើសរូបតំណាងapp និងឈ្មោះapp ដែលអ្នកពេញចិត្ត
timby_icon_name_changer_title,Select your desired TIMBY launcher icon and app name,Chọn biểu tượng và tên ứng dụng trình khởi chạy TIMBY mong muốn của bạn,நீங்கள் விரும்பும் TIMBY துவக்க ஐகான் மற்றும் பயன்பாட்டி பெயரைத் தேர்ந்தெடுக,Selecciona el ícono de tu preferencia para el lanzador de TIMBY y un nombre de aplicación,पसंदीदा तिम्ब्य लांचर चित्र एवं एप्पका नाम चुनें,Pilih ikon pelancar TIMBY yang anda mahukan dan nama aplikasinya,حدد أيقونة المشغل TIMBY واسم التطبيق,Selecione o ícone do iniciador TIMBY e o nome do aplicativo desejados,Chagua picha ya kuzindua apu ya TIMBY inayotaka na jina la apu,Выберите нужный значок запуска TIMBY и название приложения,Sélectionnez l'icône du lanceur TIMBY et le nom de l'application souhaités,Piliin ang iyong ninanais na icon ng launcher ng TIMBY at pangalan ng app,เลือกไอคอนเปิดการใช้งาน TIMBY และชื่อของ APP ที่ต้องการ,Pilih ikon TIMBY Launcher dan nama aplikasi yang anda inginkan,र एपको नाम,আপনার পছন্দসই TIMBY লঞ্চার আইকন এবং অ্যাপ নাম নির্বাচন করুন,选择所需的TIMBY启动器图标和应用程序名称,選擇所需的TIMBY啟動器圖示和應用程式名稱,ជ្រើសរើសរូបតំណាងកម្មវិធីបើក TIMBY និងឈ្មោះapp
timby_network,Current Network Type,Loại mạng hiện tại,தற்போதைய நெட்வொர்க் வகை,Tipo de Red Actual,वर्तमान नेटवर्क का प्रकार,Jenis Rangkaian Semasa,نوع الشبكة الحالية,Tipo de rede atual,Aina ya Mtandao unayotumia,Текущий тип сети,Type de réseau actuel,Kasalukuyang Uri ng Network,ประเภทเครือข่ายปัจจุบัน,Tipe Jaringan Saat Ini,हालको नेटवर्क प्रकार,বর্তমান নেটওয়ার্কের ধরন,当前网络类型,目前網絡類型,ប្រភេទបណ្តាញបច្ចុប្បន្ន
timby_video_length,TIMBY Video Length,Thời lượng video TIMBY,TIMBY வீடியோ நீளம்,Duración de Video TIMBY,TIMBY विडियो की अवधि,Panjang Video TIMBY,TIMBY طول الفيديو,Duração do vídeo TIMBY,"
Urefu wa Video",TIMBY Длина видео,Durée vidéo TIMBY,Haba ng Video ng TIMBY,ความยาววิดีโอของ TIMBY,Durasi Video TIMBY,टिम्बि भिडियो अवधि,TIMBY ভিডিও দৈর্ঘ্য,TIMBY 视频长度,TIMBY 影片長度,ប្រវែងវីដេអូTIMBY
timby_video_length_subtitle,%1$d minutes,phút,நிமிடங்கள்,minutos,मिनट,minit,الدقائق,minutos,dakika,минут,minutes,minuto,นาที,menit,मिनेट,মিনিট,分钟,分鐘,នាទី
timby_version,APP VERSION,PHIÊN BẢN ỨNG DỤNG,பயன்பாட்டி பதிப்பு,VERSIÓN DE LA APLICACIÓN,एप्प संस्करण,APP VERSION,نسخة التطبيق,VERSÃO APP,TOLEO LA APU,APP ВЕРСИЯ,VERSION DE L'APPLICATION,APP VERSION,เวอร์ชัน APP,VERSI APLIKASI,एप भर्सन,অ্যাপ সংস্করণ,应用程序版本,應用程式版本,កំណែទម្រង់APP
timby_version_label,TIMBY Version,Phiên bản TIMBY,TIMBY பதிப்பு,Versión de TIMBY,TIMBY संस्करण,TIMBY Version,نسخة TIMBY,Versão TIMBY,Toleo la TIMBY,Версия TIMBY,Version TIMBY,Bersyon ng TIMBY,เวอร์ชัน TIMBY,Versi TIMBY,टिम्बि भर्सन,TIMBY সংস্করণ,TIMBY 版本,TIMBY 版本,កំណែទម្រង់TIMBY
timby_reset,RESET APPLICATION,ỨNG DỤNG,பயன்பாட்டியை மீட்டமைக,REINICIAR APLICACIÓN,आवेदन रीसेट करें,PERMOHONAN MENGISI,إعادة تعيين التطبيق,REINICIAR APLICAÇÃO,weka apu upya,СБРОС ЗАЯВКИ,RÉINITIALISER L'APPLICATION,RESET APPLIKASYON,รีเซ็ต APP,ATUR ULANG APLIKASI,एप्लिकेसन रिसेट गर्नुहोस्,এপ্লিকেশন পুনঃবিন্যাস করুন,重置应用程序,重設應用程式,កំណត់កម្មវិធីឡើងវិញ
